,dateP,Location,confirmed cases,recoved cases,death cases
0,60,15.0 101.0,208.63843,23.797817,1.537998
1,61,15.0 101.0,227.80774,26.08464,1.5577803
2,62,15.0 101.0,246.97713,28.371485,1.5775629
3,63,15.0 101.0,266.14648,30.658323,1.5973467
4,64,15.0 101.0,283.96295,32.945126,1.6206388
5,65,15.0 101.0,300.72025,35.23196,1.6582587
6,66,15.0 101.0,318.18958,37.51879,1.7031498
7,67,15.0 101.0,336.09567,39.80565,1.7480825
8,68,15.0 101.0,352.72287,42.09246,1.8121252
9,69,15.0 101.0,369.3007,44.379272,1.8779575
10,70,15.0 101.0,385.8785,46.666122,1.9495167
11,71,15.0 101.0,403.1766,48.952953,2.0228622
12,72,15.0 101.0,420.74246,51.239845,2.0962088
13,73,15.0 101.0,438.30838,53.553177,2.1695547
14,74,15.0 101.0,455.8743,55.86653,2.242901
15,75,15.0 101.0,473.44028,58.179855,2.316248
16,76,15.0 101.0,491.00626,60.493233,2.3982031
17,77,15.0 101.0,511.58844,62.806553,2.489685
18,78,15.0 101.0,532.8412,65.12226,2.5836713
19,79,15.0 101.0,552.9093,68.06054,2.6786492
20,80,15.0 101.0,572.3379,70.998886,2.777094
21,81,15.0 101.0,591.76636,74.2723,2.8755388
22,82,15.0 101.0,611.1948,77.918,2.9739838
23,83,15.0 101.0,630.62463,81.56359,3.066166
24,84,15.0 101.0,650.0567,85.20929,3.1520276
25,85,15.0 101.0,669.48975,88.85493,3.2378888
26,86,15.0 101.0,692.2135,92.50062,3.3386047
27,87,15.0 101.0,715.5315,96.14632,3.4625797
28,88,15.0 101.0,739.77246,99.79201,3.584519
29,89,15.0 101.0,766.16296,103.43772,3.7064583
30,90,15.0 101.0,794.04175,107.08334,3.8284009
31,91,15.0 101.0,821.9203,110.72903,3.9503407
32,92,15.0 101.0,849.98157,114.80288,4.0722804
33,93,15.0 101.0,878.35394,119.124596,4.1942225
34,94,15.0 101.0,907.24005,123.446365,4.3161626
35,95,15.0 101.0,936.12506,127.7681,4.4381022
36,96,15.0 101.0,965.0112,132.0898,4.560044
37,97,15.0 101.0,993.8965,136.41147,4.681984
38,98,15.0 101.0,1022.7822,140.73314,4.8039246
39,99,15.0 101.0,1051.6675,145.05487,4.9258657
40,100,15.0 101.0,1080.5533,149.37654,5.0478067
41,101,15.0 101.0,1109.4387,153.69814,5.1697464
42,102,15.0 101.0,1138.3243,158.0199,5.2916856
43,103,15.0 101.0,1167.2096,162.35811,5.4136252
44,104,15.0 101.0,1196.0953,167.37625,5.535567
45,105,15.0 101.0,1224.9808,172.94035,5.6575084
46,106,15.0 101.0,1252.4094,178.50461,5.7794466
47,107,15.0 101.0,1278.297,184.38641,5.901388
48,108,15.0 101.0,1304.1852,190.39404,6.023328
49,109,15.0 101.0,1330.0729,196.4018,6.145269
50,110,15.0 101.0,1355.9612,202.40948,6.267211
51,111,15.0 101.0,1381.8488,208.41728,6.3891506
52,112,15.0 101.0,1407.7368,214.82718,6.5110908
53,113,15.0 101.0,1433.6244,221.75136,6.6330285
54,114,15.0 101.0,1459.5128,228.67545,6.7549706
55,115,15.0 101.0,1485.4,235.59967,6.876911
56,116,15.0 101.0,1511.2882,242.60323,6.998851
57,117,15.0 101.0,1536.9528,249.9531,7.120794
58,60,36.0 138.0,980.2207,128.20627,13.905124
59,61,36.0 138.0,1002.666,128.50812,14.056089
60,62,36.0 138.0,1025.1113,128.80997,14.208434
61,63,36.0 138.0,1047.5568,129.4952,14.36698
62,64,36.0 138.0,1070.0021,130.24097,14.522829
63,65,36.0 138.0,1092.8323,130.98672,14.534687
64,66,36.0 138.0,1115.7014,132.39465,14.53174
65,67,36.0 138.0,1141.517,136.13847,14.528791
66,68,36.0 138.0,1169.4288,140.0853,14.525846
67,69,36.0 138.0,1197.3407,144.03214,14.522895
68,70,36.0 138.0,1230.5427,147.97897,14.520554
69,71,36.0 138.0,1263.8394,151.92581,14.532443
70,72,36.0 138.0,1297.9534,155.87267,14.6106615
71,73,36.0 138.0,1332.6816,160.71597,14.6891575
72,74,36.0 138.0,1367.4099,166.64633,14.760625
73,75,36.0 138.0,1402.1383,168.27077,14.828387
74,76,36.0 138.0,1433.1227,168.50787,14.896151
75,77,36.0 138.0,1462.5526,168.74496,14.96391
76,78,36.0 138.0,1491.9825,168.98198,15.0316725
77,79,36.0 138.0,1521.4122,169.21909,15.099432
78,80,36.0 138.0,1550.8424,169.45622,15.167194
79,81,36.0 138.0,1580.2723,169.80945,15.234958
80,82,36.0 138.0,1609.7023,172.9748,15.313384
81,83,36.0 138.0,1639.1321,178.96365,15.397268
82,84,36.0 138.0,1668.562,185.03639,15.476149
83,85,36.0 138.0,1697.992,191.52568,15.555028
84,86,36.0 138.0,1727.4221,198.0149,15.633908
85,87,36.0 138.0,1756.8519,204.50423,15.712789
86,88,36.0 138.0,1786.2817,210.99347,15.791669
87,89,36.0 138.0,1815.7118,217.48265,15.870549
88,90,36.0 138.0,1845.1416,223.97186,15.9494295
89,91,36.0 138.0,1874.0563,230.74608,16.02831
90,92,36.0 138.0,1902.1779,238.06174,16.114792
91,93,36.0 138.0,1930.2994,245.52774,16.20211
92,94,36.0 138.0,1958.421,253.15005,16.289425
93,95,36.0 138.0,1986.5426,261.04868,16.376827
94,96,36.0 138.0,2014.9144,268.94705,16.464252
95,97,36.0 138.0,2043.5275,276.8456,16.55168
96,98,36.0 138.0,2072.1401,284.74405,16.63911
97,99,36.0 138.0,2100.753,292.65793,16.726536
98,100,36.0 138.0,2129.366,301.02243,16.813965
99,101,36.0 138.0,2157.9788,309.41757,16.901394
100,102,36.0 138.0,2186.5918,318.43246,16.988815
101,103,36.0 138.0,2211.3538,328.62955,17.076242
102,104,36.0 138.0,2234.689,339.92496,17.163673
103,105,36.0 138.0,2258.0242,351.3159,17.251097
104,106,36.0 138.0,2281.3591,362.7073,17.338526
105,107,36.0 138.0,2304.7542,374.0987,17.425951
106,108,36.0 138.0,2328.2283,385.4896,17.51338
107,109,36.0 138.0,2351.703,396.88065,17.600807
108,110,36.0 138.0,2375.1775,408.27182,17.688236
109,111,36.0 138.0,2398.6519,419.68716,17.775661
110,112,36.0 138.0,2422.1267,431.6895,17.863092
111,113,36.0 138.0,2445.6008,443.95023,17.950514
112,114,36.0 138.0,2469.0754,456.18942,18.037941
113,115,36.0 138.0,2492.5498,468.3717,18.125368
114,116,36.0 138.0,2516.0242,480.55313,18.212795
115,117,36.0 138.0,2539.4988,492.7352,18.300224
116,60,1.2833 103.8333,377.7435,95.690506,0.00014446751
117,61,1.2833 103.8333,395.90158,93.37827,0.00014446751
118,62,1.2833 103.8333,414.05966,91.26041,0.00014446751
119,63,1.2833 103.8333,432.2914,89.15756,0.00014446751
120,64,1.2833 103.8333,450.57474,87.05467,0.00014446751
121,65,1.2833 103.8333,468.858,84.951805,0.00014446751
