DateP,Location,confirmed cases,recoved cases,death cases,Unnamed: 6
22-03-2020,15.0 101.0,208.63843,23.797817,1.537998,
23-03-2020,15.0 101.0,227.80774,26.08464,1.5577803,
24-03-2020,15.0 101.0,246.97713,28.371485,1.5775629,
25-03-2020,15.0 101.0,266.14648,30.658323,1.5973467,
26-03-2020,15.0 101.0,283.96295,32.945126,1.6206388,
27-03-2020,15.0 101.0,300.72025,35.23196,1.6582587,
28-03-2020,15.0 101.0,318.18958,37.51879,1.7031498,
29-03-2020,15.0 101.0,336.09567,39.80565,1.7480825,
30-03-2020,15.0 101.0,352.72287,42.09246,1.8121252,
31-03-2020,15.0 101.0,369.3007,44.379272,1.8779575,
01-04-2020,15.0 101.0,385.8785,46.666122,1.9495167,
02-04-2020,15.0 101.0,403.1766,48.952953,2.0228622,
03-04-2020,15.0 101.0,420.74246,51.239845,2.0962088,
04-04-2020,15.0 101.0,438.30838,53.553177,2.1695547,
05-04-2020,15.0 101.0,455.8743,55.86653,2.242901,
06-04-2020,15.0 101.0,473.44028,58.179855,2.316248,
07-04-2020,15.0 101.0,491.00626,60.493233,2.3982031,
08-04-2020,15.0 101.0,511.58844,62.806553,2.489685,
09-04-2020,15.0 101.0,532.8412,65.12226,2.5836713,
10-04-2020,15.0 101.0,552.9093,68.06054,2.6786492,
11-04-2020,15.0 101.0,572.3379,70.998886,2.777094,
12-04-2020,15.0 101.0,591.76636,74.2723,2.8755388,
13-04-2020,15.0 101.0,611.1948,77.918,2.9739838,
14-04-2020,15.0 101.0,630.62463,81.56359,3.066166,
15-04-2020,15.0 101.0,650.0567,85.20929,3.1520276,
16-04-2020,15.0 101.0,669.48975,88.85493,3.2378888,
17-04-2020,15.0 101.0,692.2135,92.50062,3.3386047,
18-04-2020,15.0 101.0,715.5315,96.14632,3.4625797,
19-04-2020,15.0 101.0,739.77246,99.79201,3.584519,
20-04-2020,15.0 101.0,766.16296,103.43772,3.7064583,
21-04-2020,15.0 101.0,794.04175,107.08334,3.8284009,
22-04-2020,15.0 101.0,821.9203,110.72903,3.9503407,
23-04-2020,15.0 101.0,849.98157,114.80288,4.0722804,
24-04-2020,15.0 101.0,878.35394,119.124596,4.1942225,
25-04-2020,15.0 101.0,907.24005,123.446365,4.3161626,
26-04-2020,15.0 101.0,936.12506,127.7681,4.4381022,
27-04-2020,15.0 101.0,965.0112,132.0898,4.560044,
28-04-2020,15.0 101.0,993.8965,136.41147,4.681984,
29-04-2020,15.0 101.0,1022.7822,140.73314,4.8039246,
30-04-2020,15.0 101.0,1051.6675,145.05487,4.9258657,
01-05-2020,15.0 101.0,1080.5533,149.37654,5.0478067,
02-05-2020,15.0 101.0,1109.4387,153.69814,5.1697464,
03-05-2020,15.0 101.0,1138.3243,158.0199,5.2916856,
04-05-2020,15.0 101.0,1167.2096,162.35811,5.4136252,
05-05-2020,15.0 101.0,1196.0953,167.37625,5.535567,
06-05-2020,15.0 101.0,1224.9808,172.94035,5.6575084,
07-05-2020,15.0 101.0,1252.4094,178.50461,5.7794466,
08-05-2020,15.0 101.0,1278.297,184.38641,5.901388,
09-05-2020,15.0 101.0,1304.1852,190.39404,6.023328,
10-05-2020,15.0 101.0,1330.0729,196.4018,6.145269,
11-05-2020,15.0 101.0,1355.9612,202.40948,6.267211,
12-05-2020,15.0 101.0,1381.8488,208.41728,6.3891506,
13-05-2020,15.0 101.0,1407.7368,214.82718,6.5110908,
14-05-2020,15.0 101.0,1433.6244,221.75136,6.6330285,
15-05-2020,15.0 101.0,1459.5128,228.67545,6.7549706,
16-05-2020,15.0 101.0,1485.4,235.59967,6.876911,
17-05-2020,15.0 101.0,1511.2882,242.60323,6.998851,
18-05-2020,15.0 101.0,1536.9528,249.9531,7.120794,
22-03-2020,36.0 138.0,980.2207,128.20627,13.905124,
23-03-2020,36.0 138.0,1002.666,128.50812,14.056089,
24-03-2020,36.0 138.0,1025.1113,128.80997,14.208434,
25-03-2020,36.0 138.0,1047.5568,129.4952,14.36698,
26-03-2020,36.0 138.0,1070.0021,130.24097,14.522829,
27-03-2020,36.0 138.0,1092.8323,130.98672,14.534687,
28-03-2020,36.0 138.0,1115.7014,132.39465,14.53174,
29-03-2020,36.0 138.0,1141.517,136.13847,14.528791,
30-03-2020,36.0 138.0,1169.4288,140.0853,14.525846,
31-03-2020,36.0 138.0,1197.3407,144.03214,14.522895,
01-04-2020,36.0 138.0,1230.5427,147.97897,14.520554,
02-04-2020,36.0 138.0,1263.8394,151.92581,14.532443,
03-04-2020,36.0 138.0,1297.9534,155.87267,14.6106615,
04-04-2020,36.0 138.0,1332.6816,160.71597,14.6891575,
05-04-2020,36.0 138.0,1367.4099,166.64633,14.760625,
06-04-2020,36.0 138.0,1402.1383,168.27077,14.828387,
07-04-2020,36.0 138.0,1433.1227,168.50787,14.896151,
08-04-2020,36.0 138.0,1462.5526,168.74496,14.96391,
09-04-2020,36.0 138.0,1491.9825,168.98198,15.0316725,
10-04-2020,36.0 138.0,1521.4122,169.21909,15.099432,
11-04-2020,36.0 138.0,1550.8424,169.45622,15.167194,
12-04-2020,36.0 138.0,1580.2723,169.80945,15.234958,
13-04-2020,36.0 138.0,1609.7023,172.9748,15.313384,
14-04-2020,36.0 138.0,1639.1321,178.96365,15.397268,
15-04-2020,36.0 138.0,1668.562,185.03639,15.476149,
16-04-2020,36.0 138.0,1697.992,191.52568,15.555028,
17-04-2020,36.0 138.0,1727.4221,198.0149,15.633908,
18-04-2020,36.0 138.0,1756.8519,204.50423,15.712789,
19-04-2020,36.0 138.0,1786.2817,210.99347,15.791669,
20-04-2020,36.0 138.0,1815.7118,217.48265,15.870549,
21-04-2020,36.0 138.0,1845.1416,223.97186,15.9494295,
22-04-2020,36.0 138.0,1874.0563,230.74608,16.02831,
23-04-2020,36.0 138.0,1902.1779,238.06174,16.114792,
24-04-2020,36.0 138.0,1930.2994,245.52774,16.20211,
25-04-2020,36.0 138.0,1958.421,253.15005,16.289425,
26-04-2020,36.0 138.0,1986.5426,261.04868,16.376827,
27-04-2020,36.0 138.0,2014.9144,268.94705,16.464252,
28-04-2020,36.0 138.0,2043.5275,276.8456,16.55168,
29-04-2020,36.0 138.0,2072.1401,284.74405,16.63911,
30-04-2020,36.0 138.0,2100.753,292.65793,16.726536,
01-05-2020,36.0 138.0,2129.366,301.02243,16.813965,
02-05-2020,36.0 138.0,2157.9788,309.41757,16.901394,
03-05-2020,36.0 138.0,2186.5918,318.43246,16.988815,
04-05-2020,36.0 138.0,2211.3538,328.62955,17.076242,
05-05-2020,36.0 138.0,2234.689,339.92496,17.163673,
06-05-2020,36.0 138.0,2258.0242,351.3159,17.251097,
07-05-2020,36.0 138.0,2281.3591,362.7073,17.338526,
08-05-2020,36.0 138.0,2304.7542,374.0987,17.425951,
09-05-2020,36.0 138.0,2328.2283,385.4896,17.51338,
10-05-2020,36.0 138.0,2351.703,396.88065,17.600807,
11-05-2020,36.0 138.0,2375.1775,408.27182,17.688236,
12-05-2020,36.0 138.0,2398.6519,419.68716,17.775661,
13-05-2020,36.0 138.0,2422.1267,431.6895,17.863092,
14-05-2020,36.0 138.0,2445.6008,443.95023,17.950514,
15-05-2020,36.0 138.0,2469.0754,456.18942,18.037941,
16-05-2020,36.0 138.0,2492.5498,468.3717,18.125368,
17-05-2020,36.0 138.0,2516.0242,480.55313,18.212795,
18-05-2020,36.0 138.0,2539.4988,492.7352,18.300224,
22-03-2020,1.2833 103.8333,377.7435,95.690506,0.000144468,
23-03-2020,1.2833 103.8333,395.90158,93.37827,0.000144468,
24-03-2020,1.2833 103.8333,414.05966,91.26041,0.000144468,
25-03-2020,1.2833 103.8333,432.2914,89.15756,0.000144468,
26-03-2020,1.2833 103.8333,450.57474,87.05467,0.000144468,
27-03-2020,1.2833 103.8333,468.858,84.951805,0.000144468,
28-03-2020,1.2833 103.8333,488.84286,82.84894,0.000144468,
29-03-2020,1.2833 103.8333,508.98993,83.83679,0.000144468,
30-03-2020,1.2833 103.8333,529.8829,86.150116,0.000144468,
31-03-2020,1.2833 103.8333,555.0001,88.974266,0.000144468,
01-04-2020,1.2833 103.8333,580.2154,91.994995,0.000144468,
02-04-2020,1.2833 103.8333,605.4337,95.37337,0.000144468,
03-04-2020,1.2833 103.8333,630.59076,99.01903,0.000144468,
04-04-2020,1.2833 103.8333,655.72363,102.66467,0.000144468,
05-04-2020,1.2833 103.8333,681.98206,106.31038,0.000144468,
06-04-2020,1.2833 103.8333,702.57104,109.95607,0.000144468,
07-04-2020,1.2833 103.8333,725.3485,113.601715,0.000144468,
08-04-2020,1.2833 103.8333,749.1428,117.60837,0.000144468,
09-04-2020,1.2833 103.8333,772.93713,121.93011,0.070596024,
10-04-2020,1.2833 103.8333,795.9792,126.25185,0.16985781,
11-04-2020,1.2833 103.8333,819.8524,130.5737,0.26911855,
12-04-2020,1.2833 103.8333,844.8707,134.89542,0.37630555,
13-04-2020,1.2833 103.8333,869.8685,139.21722,0.48427635,
14-04-2020,1.2833 103.8333,893.2167,143.53891,0.5922441,
15-04-2020,1.2833 103.8333,916.5648,147.8606,0.7003702,
16-04-2020,1.2833 103.8333,939.91296,152.67772,0.8095876,
17-04-2020,1.2833 103.8333,963.261,158.22018,0.91880214,
18-04-2020,1.2833 103.8333,986.60913,163.76508,1.0280185,
19-04-2020,1.2833 103.8333,1009.9573,169.30988,1.1372348,
20-04-2020,1.2833 103.8333,1033.3054,174.85463,1.2464498,
21-04-2020,1.2833 103.8333,1056.6536,180.3995,1.3556653,
22-04-2020,1.2833 103.8333,1080.0016,185.94441,1.464882,
23-04-2020,1.2833 103.8333,1103.3497,191.48947,1.5740967,
24-04-2020,1.2833 103.8333,1126.6978,197.15576,1.6833134,
25-04-2020,1.2833 103.8333,1150.0459,203.14505,1.7925297,
26-04-2020,1.2833 103.8333,1173.3939,209.13437,1.9017444,
27-04-2020,1.2833 103.8333,1196.7423,215.12354,2.0109606,
28-04-2020,1.2833 103.8333,1220.0902,221.17035,2.1242158,
29-04-2020,1.2833 103.8333,1243.4385,227.65948,2.2419863,
30-04-2020,1.2833 103.8333,1266.7865,234.14888,2.3597543,
01-05-2020,1.2833 103.8333,1290.1345,240.63818,2.4775233,
02-05-2020,1.2833 103.8333,1313.4828,247.12735,2.5952938,
03-05-2020,1.2833 103.8333,1336.8309,253.61655,2.7130606,
04-05-2020,1.2833 103.8333,1360.1788,260.2441,2.830829,
05-05-2020,1.2833 103.8333,1383.527,267.2844,2.9485998,
