,dateP,confirmed cases,recoved cases,death cases,Long,Lat
0,60,209.0,24.0,2.0,101.0,15.0
1,61,228.0,26.0,2.0,101.0,15.0
2,62,247.0,28.0,2.0,101.0,15.0
3,63,266.0,31.0,2.0,101.0,15.0
4,64,284.0,33.0,2.0,101.0,15.0
5,65,301.0,35.0,2.0,101.0,15.0
6,66,318.0,38.0,2.0,101.0,15.0
7,67,336.0,40.0,2.0,101.0,15.0
8,68,353.0,42.0,2.0,101.0,15.0
9,69,369.0,44.0,2.0,101.0,15.0
10,70,386.0,47.0,2.0,101.0,15.0
11,71,403.0,49.0,2.0,101.0,15.0
12,72,421.0,51.0,2.0,101.0,15.0
13,73,438.0,54.0,2.0,101.0,15.0
14,74,456.0,56.0,2.0,101.0,15.0
15,75,473.0,58.0,2.0,101.0,15.0
16,76,491.0,60.0,2.0,101.0,15.0
17,77,512.0,63.0,2.0,101.0,15.0
18,78,533.0,65.0,3.0,101.0,15.0
19,79,553.0,68.0,3.0,101.0,15.0
20,80,572.0,71.0,3.0,101.0,15.0
21,81,592.0,74.0,3.0,101.0,15.0
22,82,611.0,78.0,3.0,101.0,15.0
23,83,631.0,82.0,3.0,101.0,15.0
24,84,650.0,85.0,3.0,101.0,15.0
25,85,669.0,89.0,3.0,101.0,15.0
26,86,692.0,93.0,3.0,101.0,15.0
27,87,716.0,96.0,3.0,101.0,15.0
28,88,740.0,100.0,4.0,101.0,15.0
29,89,766.0,103.0,4.0,101.0,15.0
30,90,794.0,107.0,4.0,101.0,15.0
31,91,822.0,111.0,4.0,101.0,15.0
32,92,850.0,115.0,4.0,101.0,15.0
33,93,878.0,119.0,4.0,101.0,15.0
34,94,907.0,123.0,4.0,101.0,15.0
35,95,936.0,128.0,4.0,101.0,15.0
36,96,965.0,132.0,5.0,101.0,15.0
37,97,994.0,136.0,5.0,101.0,15.0
38,98,1023.0,141.0,5.0,101.0,15.0
39,99,1052.0,145.0,5.0,101.0,15.0
40,100,1081.0,149.0,5.0,101.0,15.0
41,101,1109.0,154.0,5.0,101.0,15.0
42,102,1138.0,158.0,5.0,101.0,15.0
43,103,1167.0,162.0,5.0,101.0,15.0
44,104,1196.0,167.0,6.0,101.0,15.0
45,105,1225.0,173.0,6.0,101.0,15.0
46,106,1252.0,179.0,6.0,101.0,15.0
47,107,1278.0,184.0,6.0,101.0,15.0
