,DateP,confirmed cases,recoved cases,death cases,Long,Lat
0,22-03-2020,209,24,2,101,15
1,23-03-2020,228,26,2,101,15
2,24-03-2020,247,28,2,101,15
3,25-03-2020,266,31,2,101,15
4,26-03-2020,284,33,2,101,15
5,27-03-2020,301,35,2,101,15
6,28-03-2020,318,38,2,101,15
7,29-03-2020,336,40,2,101,15
8,30-03-2020,353,42,2,101,15
9,31-03-2020,369,44,2,101,15
10,01-04-2020,386,47,2,101,15
11,02-04-2020,403,49,2,101,15
12,03-04-2020,421,51,2,101,15
13,04-04-2020,438,54,2,101,15
14,05-04-2020,456,56,2,101,15
15,06-04-2020,473,58,2,101,15
16,07-04-2020,491,60,2,101,15
17,08-04-2020,512,63,2,101,15
18,09-04-2020,533,65,3,101,15
19,10-04-2020,553,68,3,101,15
20,11-04-2020,572,71,3,101,15
21,12-04-2020,592,74,3,101,15
22,13-04-2020,611,78,3,101,15
23,14-04-2020,631,82,3,101,15
24,15-04-2020,650,85,3,101,15
25,16-04-2020,669,89,3,101,15
26,17-04-2020,692,93,3,101,15
27,18-04-2020,716,96,3,101,15
28,19-04-2020,740,100,4,101,15
29,20-04-2020,766,103,4,101,15
30,21-04-2020,794,107,4,101,15
31,22-04-2020,822,111,4,101,15
32,23-04-2020,850,115,4,101,15
33,24-04-2020,878,119,4,101,15
34,25-04-2020,907,123,4,101,15
35,26-04-2020,936,128,4,101,15
36,27-04-2020,965,132,5,101,15
37,28-04-2020,994,136,5,101,15
38,29-04-2020,1023,141,5,101,15
39,30-04-2020,1052,145,5,101,15
40,01-05-2020,1081,149,5,101,15
41,02-05-2020,1109,154,5,101,15
42,03-05-2020,1138,158,5,101,15
43,04-05-2020,1167,162,5,101,15
44,05-05-2020,1196,167,6,101,15
45,06-05-2020,1225,173,6,101,15
46,07-05-2020,1252,179,6,101,15
47,08-05-2020,1278,184,6,101,15
48,09-05-2020,1304,190,6,101,15
49,10-05-2020,1330,196,6,101,15
50,11-05-2020,1356,202,6,101,15
51,12-05-2020,1382,208,6,101,15
52,13-05-2020,1408,215,7,101,15
53,14-05-2020,1434,222,7,101,15
54,15-05-2020,1460,229,7,101,15
55,16-05-2020,1485,236,7,101,15
56,17-05-2020,1511,243,7,101,15
57,18-05-2020,1537,250,7,101,15
