Lat,Long,Date,DateP,Confirmed,Recovered,Deaths
15,101,22-01-2020,43852,2,0,0
15,101,23-01-2020,43853,3,0,0
15,101,24-01-2020,43854,5,0,0
15,101,25-01-2020,43855,7,0,0
15,101,26-01-2020,43856,8,2,0
15,101,27-01-2020,43857,8,2,0
15,101,28-01-2020,43858,14,5,0
15,101,29-01-2020,43859,14,5,0
15,101,30-01-2020,43860,14,5,0
15,101,31-01-2020,43861,19,5,0
15,101,01-02-2020,43862,19,5,0
15,101,02-02-2020,43863,19,5,0
15,101,03-02-2020,43864,19,5,0
15,101,04-02-2020,43865,25,5,0
15,101,05-02-2020,43866,25,5,0
15,101,06-02-2020,43867,25,5,0
15,101,07-02-2020,43868,25,5,0
15,101,08-02-2020,43869,32,10,0
15,101,09-02-2020,43870,32,10,0
15,101,10-02-2020,43871,32,10,0
15,101,11-02-2020,43872,33,10,0
15,101,12-02-2020,43873,33,10,0
15,101,13-02-2020,43874,33,12,0
15,101,14-02-2020,43875,33,12,0
15,101,15-02-2020,43876,33,12,0
15,101,16-02-2020,43877,34,14,0
15,101,17-02-2020,43878,35,15,0
15,101,18-02-2020,43879,35,15,0
15,101,19-02-2020,43880,35,15,0
15,101,20-02-2020,43881,35,15,0
15,101,21-02-2020,43882,35,17,0
15,101,22-02-2020,43883,35,17,0
15,101,23-02-2020,43884,35,21,0
15,101,24-02-2020,43885,35,21,0
15,101,25-02-2020,43886,37,22,0
15,101,26-02-2020,43887,40,22,0
15,101,27-02-2020,43888,40,22,0
15,101,28-02-2020,43889,41,28,0
15,101,29-02-2020,43890,42,28,0
15,101,01-03-2020,43891,42,28,1
15,101,02-03-2020,43892,43,31,1
15,101,03-03-2020,43893,43,31,1
15,101,04-03-2020,43894,43,31,1
15,101,05-03-2020,43895,47,31,1
15,101,06-03-2020,43896,48,31,1
15,101,07-03-2020,43897,50,31,1
15,101,08-03-2020,43898,50,31,1
15,101,09-03-2020,43899,50,31,1
15,101,10-03-2020,43900,53,33,1
15,101,11-03-2020,43901,59,34,1
15,101,12-03-2020,43902,70,34,1
15,101,13-03-2020,43903,75,35,1
15,101,14-03-2020,43904,82,35,1
15,101,15-03-2020,43905,114,35,1
15,101,16-03-2020,43906,147,35,1
15,101,17-03-2020,43907,177,41,1
15,101,18-03-2020,43908,212,42,1
15,101,19-03-2020,43909,272,42,1
36,138,22-01-2020,43852,2,0,0
36,138,23-01-2020,43853,1,0,0
